Date,Day,Week,Month,Quarter,Year,Weekend,Season,Festival,Holiday
2026-05-05,5,19,5,2,2026,False,Summer,None,False
2026-05-06,6,19,5,2,2026,False,Summer,None,False
2026-05-07,7,19,5,2,2026,False,Summer,None,False
2026-05-08,8,19,5,2,2026,False,Summer,None,False
2026-05-09,9,19,5,2,2026,True,Summer,None,False
2026-05-10,10,19,5,2,2026,True,Summer,None,False
2026-05-11,11,20,5,2,2026,False,Summer,None,False
2026-05-12,12,20,5,2,2026,False,Summer,None,False
2026-05-13,13,20,5,2,2026,False,Summer,None,False
2026-05-14,14,20,5,2,2026,False,Summer,None,False
2026-05-15,15,20,5,2,2026,False,Summer,None,False
2026-05-16,16,20,5,2,2026,True,Summer,None,False
2026-05-17,17,20,5,2,2026,True,Summer,None,False
2026-05-18,18,21,5,2,2026,False,Summer,None,False
2026-05-19,19,21,5,2,2026,False,Summer,None,False
2026-05-20,20,21,5,2,2026,False,Summer,None,False
2026-05-21,21,21,5,2,2026,False,Summer,None,False
2026-05-22,22,21,5,2,2026,False,Summer,None,False
2026-05-23,23,21,5,2,2026,True,Summer,None,False
2026-05-24,24,21,5,2,2026,True,Summer,None,False
2026-05-25,25,22,5,2,2026,False,Summer,None,False
2026-05-26,26,22,5,2,2026,False,Summer,None,False
2026-05-27,27,22,5,2,2026,False,Summer,None,False
2026-05-28,28,22,5,2,2026,False,Summer,None,False
2026-05-29,29,22,5,2,2026,False,Summer,None,False
2026-05-30,30,22,5,2,2026,True,Summer,None,False
2026-05-31,31,22,5,2,2026,True,Summer,None,False
2026-06-01,1,23,6,2,2026,False,Monsoon,None,False
2026-06-02,2,23,6,2,2026,False,Monsoon,None,False
2026-06-03,3,23,6,2,2026,False,Monsoon,None,False
2026-06-04,4,23,6,2,2026,False,Monsoon,None,False
2026-06-05,5,23,6,2,2026,False,Monsoon,None,False
2026-06-06,6,23,6,2,2026,True,Monsoon,None,False
2026-06-07,7,23,6,2,2026,True,Monsoon,None,False
2026-06-08,8,24,6,2,2026,False,Monsoon,None,False
2026-06-09,9,24,6,2,2026,False,Monsoon,None,False
